Year-Month,price
1980-01,0.879
1980-02,0.774
1980-03,0.812
1980-04,0.797
1980-05,0.737
1980-06,0.731
1980-07,0.776
1980-08,0.907
1980-09,0.898
1980-10,0.867
1980-11,0.917
1980-12,1.031
1981-01,0.943
1981-02,0.924
1981-03,0.875
1981-04,0.904
1981-05,0.836
1981-06,0.852
1981-07,0.86
1981-08,0.868
1981-09,0.915
1981-10,0.898
1981-11,0.943
1981-12,0.966
1982-01,0.925
1982-02,1.007
1982-03,0.952
1982-04,0.896
1982-05,0.842
1982-06,0.783
1982-07,0.851
1982-08,0.778
1982-09,0.852
1982-10,0.854
1982-11,0.849
1982-12,0.813
1983-01,0.821
1983-02,0.794
1983-03,0.836
1983-04,0.825
1983-05,0.865
1983-06,0.825
1983-07,0.847
1983-08,0.884
1983-09,0.938
1983-10,0.962
1983-11,0.996
1983-12,1.131
1984-01,1.301
1984-02,1.324
1984-03,1.153
1984-04,1.199
1984-05,1.054
1984-06,0.903
1984-07,0.876
1984-08,0.86
1984-09,0.854
1984-10,0.842
1984-11,0.823
1984-12,0.867
1985-01,0.746
1985-02,0.784
1985-03,0.79
1985-04,0.783
1985-05,0.745
1985-06,0.724
1985-07,0.787
1985-08,0.789
1985-09,0.857
1985-10,0.86
1985-11,0.872
1985-12,0.906
1986-01,0.901
1986-02,0.866
1986-03,0.887
1986-04,0.89
1986-05,0.82
1986-06,0.795
1986-07,0.833
1986-08,0.913
1986-09,0.868
1986-10,0.855
1986-11,0.897
1986-12,0.91
1987-01,0.862
1987-02,0.823
1987-03,0.8
1987-04,0.786
1987-05,0.763
1987-06,0.711
1987-07,0.763
1987-08,0.73
1987-09,0.837
1987-10,0.778
1987-11,0.805
1987-12,0.733
1988-01,0.76
1988-02,0.718
1988-03,0.74
1988-04,0.719
1988-05,0.678
1988-06,0.705
1988-07,0.803
1988-08,0.909
1988-09,0.874
1988-10,0.896
1988-11,0.839
1988-12,0.833
1989-01,0.941
1989-02,0.89
1989-03,1.031
1989-04,0.997
1989-05,0.956
1989-06,0.937
1989-07,0.961
1989-08,0.983
1989-09,1.038
1989-10,1.023
1989-11,1.08
1989-12,1.137
1990-01,1.223
1990-02,1.041
1990-03,1.111
1990-04,1.092
1990-05,0.94
1990-06,0.93
1990-07,0.899
1990-08,0.954
1990-09,0.946
1990-10,1.012
1990-11,1.018
1990-12,1.001
1991-01,1.106
1991-02,0.987
1991-03,1.069
1991-04,1.002
1991-05,0.908
1991-06,0.884
1991-07,0.966
1991-08,1.024
1991-09,0.987
1991-10,0.976
1991-11,0.95
1991-12,1.012
1992-01,0.933
1992-02,0.881
1992-03,0.85
1992-04,0.829
1992-05,0.836
1992-06,0.801
1992-07,0.827
1992-08,0.809
1992-09,0.873
1992-10,0.858
1992-11,0.897
1992-12,0.928
1993-01,0.898
1993-02,0.895
1993-03,0.927
1993-04,0.997
1993-05,0.895
1993-06,0.921
1993-07,0.9
1993-08,0.929
1993-09,0.89
1993-10,0.897
1993-11,0.917
1993-12,0.871
1994-01,0.917
1994-02,0.903
1994-03,0.926
1994-04,0.861
1994-05,0.801
1994-06,0.841
1994-07,0.815
1994-08,0.895
1994-09,0.855
1994-10,0.81
1994-11,0.857
1994-12,0.873
1995-01,0.882
1995-02,0.863
1995-03,0.875
1995-04,0.833
1995-05,0.819
1995-06,0.825
1995-07,0.879
1995-08,0.984
1995-09,0.956
1995-10,0.981
1995-11,1.037
1995-12,1.16
1996-01,1.155
1996-02,1.091
1996-03,1.138
1996-04,1.086
1996-05,1.021
1996-06,0.945
1996-07,1.042
1996-08,1.072
1996-09,1.15
1996-10,1.129
1996-11,1.139
1996-12,1.308
1997-01,1.148
1997-02,1.132
1997-03,1.056
1997-04,1.081
1997-05,1.002
1997-06,0.952
1997-07,0.979
1997-08,1.061
1997-09,1.009
1997-10,1.018
1997-11,1.09
1997-12,1.172
1998-01,1.12
1998-02,1.073
1998-03,1.043
1998-04,1.061
1998-05,0.96
1998-06,0.932
1998-07,0.971
1998-08,1.053
1998-09,1.022
